date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2042-04-20 | 1
2009-01-02 | 999
2011-01-03 | 42
2011-01-03 | 999

1995-04-20 | 1

0000-04-20 | 1
2011-00-20 | 1
2011-04-00 | 1

201x-04-20 | 1
2011-0x-20 | 1
2011-04-2x | 1

20111-04-2x | 1
2011-201-2x | 1
2011-20-041 | 1

2011,20-04 | 1
2011-20,04 | 1

      2011-01-03 | 3
2011-01-03       | 2
                        2011-01-03              | 2
